"date","geoRegion","entries","pop","sumTotal","per100Persons","per100Persons_mean7d","per100PersonsTotal","mean7d","type","version","granularity"
2020-12-23,"AI",0,16128,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2020-12-24,"AI",0,16128,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2020-12-25,"AI",0,16128,0,0,NA,0,NA,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2020-12-26,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2020-12-27,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2020-12-28,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2020-12-29,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2020-12-30,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2020-12-31,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-01,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-02,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-03,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-04,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-05,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-06,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-07,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-08,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-09,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-10,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-11,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-12,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-13,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-14,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-15,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-16,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-17,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-18,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-19,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-20,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-21,"AI",0,16128,0,0,0,0,0,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-22,"AI",0,16128,0,0,0.01,0,2.14,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-23,"AI",0,16128,0,0,0.08,0,13,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-24,"AI",0,16128,0,0,0.08,0,13,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-25,"AI",15,16128,15,0.09,0.08,0.09,13.14,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-26,"AI",76,16128,91,0.47,0.08,0.56,13.14,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-27,"AI",0,16128,91,0,0.08,0.56,13.14,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-28,"AI",1,16128,92,0.01,0.08,0.57,13.14,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-29,"AI",0,16128,92,0,0.09,0.57,14.14,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-30,"AI",0,16128,92,0,0.15,0.57,24,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-01-31,"AI",0,16128,92,0,0.2,0.57,31.43,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-01,"AI",22,16128,114,0.14,0.22,0.71,36.14,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-02,"AI",145,16128,259,0.9,0.27,1.61,43.14,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-03,"AI",52,16128,311,0.32,0.27,1.93,43.14,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-04,"AI",34,16128,345,0.21,0.27,2.14,43.14,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-05,"AI",49,16128,394,0.3,0.28,2.44,45.57,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-06,"AI",0,16128,394,0,0.24,2.44,38.43,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-07,"AI",0,16128,394,0,0.22,2.44,35,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-08,"AI",39,16128,433,0.24,0.19,2.68,30.14,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-09,"AI",95,16128,528,0.59,0.17,3.27,27.43,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-10,"AI",28,16128,556,0.17,0.17,3.45,27.43,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-11,"AI",0,16128,556,0,0.17,3.45,27.43,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-12,"AI",30,16128,586,0.19,0.18,3.63,29.14,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-13,"AI",0,16128,586,0,0.21,3.63,34.14,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-14,"AI",0,16128,586,0,0.25,3.63,40.29,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-15,"AI",51,16128,637,0.32,0.31,3.95,50.29,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-16,"AI",130,16128,767,0.81,0.34,4.76,54.57,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-17,"AI",71,16128,838,0.44,0.34,5.2,54.57,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-18,"AI",70,16128,908,0.43,0.34,5.63,54.57,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-19,"AI",60,16128,968,0.37,0.3,6,48.86,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-20,"AI",0,16128,968,0,0.21,6,34.71,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-21,"AI",0,16128,968,0,0.15,6,24.57,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-22,"AI",11,16128,979,0.07,0.09,6.07,14.57,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-23,"AI",31,16128,1010,0.19,0.05,6.26,7.57,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-24,"AI",0,16128,1010,0,0.05,6.26,7.57,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
2021-02-25,"AI",0,16128,1010,0,0.05,6.26,7.57,"COVID19FullyVaccPersons","2021-03-26_08-57-10","detailed"
