"date","geoRegion","entries","pop","sumTotal","per100Persons","per100Persons_mean7d","per100PersonsTotal","mean7d","type","version","granularity"
2020-12-23,"AI",13,16128,13,0.08,NA,0.08,NA,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2020-12-24,"AI",31,16128,44,0.19,NA,0.27,NA,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2020-12-25,"AI",0,16128,44,0,NA,0.27,NA,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2020-12-26,"AI",0,16128,44,0,0.04,0.27,6.29,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2020-12-27,"AI",0,16128,44,0,0.03,0.27,4.43,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2020-12-28,"AI",0,16128,44,0,0,0.27,0,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2020-12-29,"AI",0,16128,44,0,0,0.27,0,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2020-12-30,"AI",0,16128,44,0,0,0.27,0,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2020-12-31,"AI",0,16128,44,0,0,0.27,0,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-01,"AI",0,16128,44,0,0.02,0.27,2.86,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-02,"AI",0,16128,44,0,0.18,0.27,29.57,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-03,"AI",0,16128,44,0,0.24,0.27,39.57,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-04,"AI",20,16128,64,0.12,0.28,0.4,44.71,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-05,"AI",187,16128,251,1.16,0.31,1.56,50.29,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-06,"AI",70,16128,321,0.43,0.31,1.99,50.29,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-07,"AI",36,16128,357,0.22,0.31,2.21,50.29,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-08,"AI",39,16128,396,0.24,0.33,2.46,53.29,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-09,"AI",0,16128,396,0,0.24,2.46,39.29,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-10,"AI",0,16128,396,0,0.21,2.46,34.14,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-11,"AI",41,16128,437,0.25,0.18,2.71,29.71,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-12,"AI",89,16128,526,0.55,0.17,3.26,27.57,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-13,"AI",34,16128,560,0.21,0.17,3.47,27.57,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-14,"AI",5,16128,565,0.03,0.17,3.5,27.57,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-15,"AI",24,16128,589,0.15,0.18,3.65,28.86,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-16,"AI",0,16128,589,0,0.22,3.65,35,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-17,"AI",0,16128,589,0,0.25,3.65,40.43,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-18,"AI",50,16128,639,0.31,0.28,3.96,45.71,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-19,"AI",132,16128,771,0.82,0.32,4.78,51.14,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-20,"AI",72,16128,843,0.45,0.32,5.23,51.14,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-21,"AI",42,16128,885,0.26,0.32,5.49,51.14,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-22,"AI",62,16128,947,0.38,0.3,5.87,47.57,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-23,"AI",0,16128,947,0,0.29,5.87,47.43,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-24,"AI",0,16128,947,0,0.23,5.87,37.14,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-25,"AI",25,16128,972,0.16,0.2,6.03,32,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-26,"AI",131,16128,1103,0.81,0.15,6.84,24.57,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-27,"AI",0,16128,1103,0,0.15,6.84,24.57,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-28,"AI",6,16128,1109,0.04,0.15,6.88,24.57,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-29,"AI",10,16128,1119,0.06,0.15,6.94,24.29,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-30,"AI",0,16128,1119,0,0.17,6.94,27.14,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-01-31,"AI",0,16128,1119,0,0.22,6.94,34.86,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-01,"AI",23,16128,1142,0.14,0.24,7.08,39,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-02,"AI",151,16128,1293,0.94,0.28,8.02,45.71,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-03,"AI",54,16128,1347,0.33,0.28,8.35,45.71,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-04,"AI",35,16128,1382,0.22,0.28,8.57,45.71,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-05,"AI",57,16128,1439,0.35,0.3,8.92,48.29,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-06,"AI",0,16128,1439,0,0.26,8.92,42.57,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-07,"AI",0,16128,1439,0,0.3,8.92,48,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-08,"AI",41,16128,1480,0.25,0.27,9.18,43,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-09,"AI",111,16128,1591,0.69,0.26,9.86,41.86,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-10,"AI",92,16128,1683,0.57,0.26,10.44,41.86,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-11,"AI",0,16128,1683,0,0.26,10.44,41.86,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-12,"AI",49,16128,1732,0.3,0.28,10.74,45.14,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-13,"AI",0,16128,1732,0,0.3,10.74,48.14,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-14,"AI",0,16128,1732,0,0.28,10.74,45.14,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-15,"AI",64,16128,1796,0.4,0.34,11.14,55.57,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-16,"AI",132,16128,1928,0.82,0.36,11.95,57.29,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-17,"AI",71,16128,1999,0.44,0.36,12.39,57.29,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-18,"AI",73,16128,2072,0.45,0.36,12.85,57.29,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-19,"AI",61,16128,2133,0.38,0.31,13.23,49.71,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-20,"AI",0,16128,2133,0,0.25,13.23,39.86,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-21,"AI",0,16128,2133,0,0.2,13.23,32.86,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-22,"AI",11,16128,2144,0.07,NA,13.29,NA,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-23,"AI",63,16128,2207,0.39,NA,13.68,NA,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2021-02-24,"AI",22,16128,2229,0.14,NA,13.82,NA,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2020-12-23,"AR",0,55445,0,0,NA,0,NA,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2020-12-24,"AR",0,55445,0,0,NA,0,NA,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2020-12-25,"AR",0,55445,0,0,NA,0,NA,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2020-12-26,"AR",0,55445,0,0,0,0,0,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2020-12-27,"AR",0,55445,0,0,0,0,0.29,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
2020-12-28,"AR",0,55445,0,0,0,0,0.29,"COVID19VaccDosesAdministered","2021-02-26_09-03-05","detailed"
