"geoRegion","date","pop","sumTotal","per100PersonsTotal","type","version"
"GE",2021-01-31,504128,18012,3.57,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"VD",2021-01-31,805098,27848,3.46,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"VS",2021-01-31,345525,14240,4.12,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"FR",2021-01-31,321783,9580,2.98,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"NE",2021-01-31,176496,4907,2.78,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"JU",2021-01-31,73584,2792,3.79,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"BE",2021-01-31,1039474,24385,2.35,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"SO",2021-01-31,275247,15099,5.49,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"BS",2021-01-31,195844,13754,7.02,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"BL",2021-01-31,289468,11364,3.93,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"AG",2021-01-31,685845,20034,2.92,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"ZH",2021-01-31,1539275,46081,2.99,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"SH",2021-01-31,82348,5685,6.9,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"TG",2021-01-31,279547,8868,3.17,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"AR",2021-01-31,55445,3542,6.39,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"AI",2021-01-31,16128,1092,6.77,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"SG",2021-01-31,510734,19281,3.78,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"GL",2021-01-31,40590,2330,5.74,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"SZ",2021-01-31,160480,5165,3.22,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"ZG",2021-01-31,127642,7431,5.82,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"LU",2021-01-31,413120,18076,4.38,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"NW",2021-01-31,43087,3218,7.47,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"OW",2021-01-31,37930,2156,5.68,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"UR",2021-01-31,36703,2184,5.95,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"GR",2021-01-31,199021,7339,3.69,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"TI",2021-01-31,351491,19737,5.62,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"FL",2021-01-31,38747,833,2.15,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"CHFL",2021-01-31,8644780,315033,3.64,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
"CH",2021-01-31,8606033,314200,3.65,"COVID19VaccDosesAdministered","2021-01-31_23-59-00"
