"geoRegion","date","pop","sumTotal","per100PersonsTotal","type","version"
"GE",2021-02-03,504128,20238,4.01,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"VD",2021-02-03,805098,34784,4.32,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"VS",2021-02-03,345525,16735,4.84,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"FR",2021-02-03,321783,11769,3.66,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"NE",2021-02-03,176496,5657,3.21,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"JU",2021-02-03,73584,3411,4.64,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"BE",2021-02-03,1039474,31375,3.02,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"SO",2021-02-03,275247,16509,6,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"BS",2021-02-03,195844,14595,7.45,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"BL",2021-02-03,289468,13740,4.75,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"AG",2021-02-03,685845,24812,3.62,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"ZH",2021-02-03,1539275,54243,3.52,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"SH",2021-02-03,82348,5728,6.96,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"TG",2021-02-03,279547,10919,3.91,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"AR",2021-02-03,55445,3562,6.42,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"AI",2021-02-03,16128,1395,8.65,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"SG",2021-02-03,510734,23971,4.69,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"GL",2021-02-03,40590,2635,6.49,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"SZ",2021-02-03,160480,5761,3.59,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"ZG",2021-02-03,127642,7636,5.98,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"LU",2021-02-03,413120,21035,5.09,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"NW",2021-02-03,43087,3737,8.67,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"OW",2021-02-03,37930,2156,5.68,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"UR",2021-02-03,36703,2699,7.35,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"GR",2021-02-03,199021,8600,4.32,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"TI",2021-02-03,351491,20550,5.85,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"FL",2021-02-03,38747,833,2.15,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"CHFL",2021-02-03,8644780,369085,4.27,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
"CH",2021-02-03,8606033,368252,4.28,"COVID19VaccDosesAdministered","2021-02-03_23-59-00"
